"Phi","Points:0","Points:1","Points:2"
1,0,332.8,0
1,25.6,332.8,0
1,51.2,332.8,0
1,76.8,332.8,0
1,102.4,332.8,0
1,128,332.8,0
1,153.6,332.8,0
1,179.2,332.8,0
1,204.8,332.8,0
1,230.4,332.8,0
1,256,332.8,0
1,281.6,332.8,0
1,307.2,332.8,0
1,332.8,332.8,0
1,358.4,332.8,0
1,384,332.8,0
1,409.6,332.8,0
1,435.2,332.8,0
1,460.8,332.8,0
1,486.4,332.8,0
1,512,332.8,0
1,537.6,332.8,0
1,0,358.4,0
1,25.6,358.4,0
1,51.2,358.4,0
1,76.8,358.4,0
1,102.4,358.4,0
1,128,358.4,0
1,153.6,358.4,0
1,179.2,358.4,0
1,204.8,358.4,0
1,230.4,358.4,0
1,256,358.4,0
1,281.6,358.4,0
1,307.2,358.4,0
1,332.8,358.4,0
1,358.4,358.4,0
1,384,358.4,0
1,409.6,358.4,0
1,435.2,358.4,0
1,460.8,358.4,0
1,486.4,358.4,0
1,512,358.4,0
1,537.6,358.4,0
1,0,384,0
1,25.6,384,0
1,51.2,384,0
1,76.8,384,0
1,102.4,384,0
1,128,384,0
1,153.6,384,0
1,179.2,384,0
1,204.8,384,0
1,230.4,384,0
1,256,384,0
1,281.6,384,0
1,307.2,384,0
1,332.8,384,0
1,358.4,384,0
1,384,384,0
1,409.6,384,0
1,435.2,384,0
1,460.8,384,0
1,486.4,384,0
1,512,384,0
1,537.6,384,0
1,0,409.6,0
1,25.6,409.6,0
1,51.2,409.6,0
1,76.8,409.6,0
1,102.4,409.6,0
1,128,409.6,0
1,153.6,409.6,0
1,179.2,409.6,0
1,204.8,409.6,0
1,230.4,409.6,0
1,256,409.6,0
1,281.6,409.6,0
1,307.2,409.6,0
1,332.8,409.6,0
1,358.4,409.6,0
1,384,409.6,0
1,409.6,409.6,0
1,435.2,409.6,0
1,460.8,409.6,0
1,486.4,409.6,0
1,512,409.6,0
1,537.6,409.6,0
1,0,435.2,0
